Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Utbildningsanordnare,Ansökningsomgång,Diarienummer
"Hotell, restaurang och turism",Destination Management,Stockholm,Stockholm,1,False,400,TEC Travel Education Centre AB,2020,MYH 2020/5642
"Hotell, restaurang och turism",Food & Beverage Manager,Flera kommuner,Flera kommuner,2,True,300,Företagsekonomiska Institutet 1888 AB,2020,MYH 2020/5890
"Hotell, restaurang och turism",Hotel management,Stockholm,Stockholm,1,False,400,"Stockholms stad, Frans Schartaus Handelsinstitut",2020,MYH 2020/5565
"Hotell, restaurang och turism",Konceptutvecklare Event och Besöksnäring,Stockholm,Stockholm,1,False,400,IHM Business School AB Stockholm,2020,MYH 2020/4991
"Hotell, restaurang och turism",Konceptutvecklare Event och Besöksnäring,Västra Götaland,Göteborg,1,False,400,IHM Business School AB Göteborg,2020,MYH 2020/4984
"Hotell, restaurang och turism",Operativ ledare – inriktning Revenue Management,Skåne,Båstad,1,False,150,Båstad kommun Akademi Båstad,2020,MYH 2020/5702
"Hotell, restaurang och turism",Revenue Management  & Data Analyst ,Stockholm,Stockholm,1,False,200,"Stockholms stad, Frans Schartaus Handelsinstitut",2020,MYH 2020/5864
"Hotell, restaurang och turism",TRAC Internationell turism- och resekonsult med IATA,Skåne,Malmö,1,False,400,TEC Travel Education Centre AB,2020,MYH 2020/5649
"Hotell, restaurang och turism",TRAC Internationell turism- och resekonsult med IATA,Stockholm,Stockholm,1,False,400,TEC Travel Education Centre AB,2020,MYH 2020/5645
"Hotell, restaurang och turism",TRAC Turism -och Resekonsult,Stockholm,Stockholm,1,False,400,"Stockholms stad, Frans Schartaus Handelsinstitut",2020,MYH 2020/5308
"Hotell, restaurang och turism",TRAC Turism- och resekonsult,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2020,MYH 2020/5406
Hälso- och sjukvård samt socialt arbete,Ambulanssjukvårdare,Stockholm,Stockholm,1,False,200,MedLearn AB,2020,MYH 2020/5349
Hälso- och sjukvård samt socialt arbete,Ambulanssjukvårdare,Västra Götaland,Skövde,1,False,200,"Skövde kommun, Skövde Yrkeshögskola",2020,MYH 2020/5330
Hälso- och sjukvård samt socialt arbete,Apotekstekniker,Jönköping,Jönköping,1,False,300,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4481
Hälso- och sjukvård samt socialt arbete,Apotekstekniker,Västernorrland,Sundsvall,1,False,300,Lernia Utbildning AB,2020,MYH 2020/5128
