Diarienummer,Kommun,Län,Beslut
MYH 2020/4825,Boden,Norrbotten,False
MYH 2020/4826,Boden,Norrbotten,True
MYH 2020/4827,Stockholm,Stockholm,True
MYH 2020/4828,Sotenäs,Västra Götaland,False
MYH 2020/4829,Kristinehamn,Värmland,False
MYH 2020/4830,Falun,Dalarna,True
MYH 2020/4831,Falun,Dalarna,True
MYH 2020/4832,Falun,Dalarna,True
MYH 2020/4833,Stockholm,Stockholm,False
MYH 2020/4834,Stockholm,Stockholm,False
MYH 2020/4835,Göteborg,Västra Götaland,False
MYH 2020/4836,Malmö,Skåne,False
MYH 2020/4837,Stockholm,Stockholm,True
MYH 2020/4838,Leksand,Dalarna,False
MYH 2020/4839,Göteborg,Västra Götaland,False
MYH 2020/4840,Stockholm,Stockholm,False
MYH 2020/4841,Partille,Västra Götaland,True
MYH 2020/4842,Halmstad,Halland,False
MYH 2020/4842,Lund,Skåne,False
MYH 2020/4842,Borlänge,Dalarna,False
MYH 2020/4842,Malmö,Skåne,False
MYH 2020/4842,Uppsala,Uppsala,False
MYH 2020/4842,Stockholm,Stockholm,False
MYH 2020/4842,Göteborg,Västra Götaland,False
MYH 2020/4842,Linköping,Östergötland,False
MYH 2020/4842,Umeå,Västerbotten,False
MYH 2020/4842,Jönköping,Jönköping,False
MYH 2020/4843,Stockholm,Stockholm,False
MYH 2020/4844,Skellefteå,Västerbotten,False
MYH 2020/4845,Stockholm,Stockholm,False
MYH 2020/4846,Boden,Norrbotten,True
